"139","Couronne tchèque","koruna","CZK"
"140","Leu roumain","leu","RON"
"141","Lek albanais","lek","ALL"
"142","Rouble biélorusse","Br.","BYN"
"143","Mark convertible","MK","BAM"
"144","Couronne islandaise","króna","ISK"
"145","Franc suisse","Fr","CHF"
"146","Denar","denar","MKD"
"147","Leu moldave","leu","MDL"
"148","Couronne norvégienne","krone","NOK"
"149","Dinar serbe","dinar","RSD"
"150","Hryvnia","hryvnia","UAH"
"151","Dollar australien","$, $ AUD, dollar","AUD"
"152","Dollar néo-zélandais","dollar","NZD"
"153","Dollar de Fidji","$, $ FJ, dollar	","FJD"
"154","Franc pacifique","franc, F, franc CFP","XPF"
"155","Kina","kina","PGK"
"156","Dollar des îles Salomon","$, $ SI, dollar","SBD"
"157","Tala","tala","WST"
"158","Pa'anga","pa'anga","TOP"
"159","Vatu","vatu","VUV"
